table_name,row_count,column_count,metadata,word_count
quaterly_key_aggregates_of_national_accounts,1568,10,"The `quaterly_key_aggregates_of_national_accounts` table provides a comprehensive, time-series dataset of India’s key macroeconomic aggregates, compiled at the national level and reported on a quarterly basis. Its primary purpose is to facilitate the analysis and monitoring of the country’s economic performance across major sectors, industries, and key national accounts indicators, supporting economic research, policy formulation, and reporting.

**Data Contents and Purpose:**  
This table captures quarterly values and growth rates for a wide range of national accounts aggregates, including both absolute values (in rupees crore at constant and current prices) and percentage growth rates. The data spans multiple financial years (e.g., 2011-12 to 2024-25), enabling longitudinal analysis of economic trends and sectoral contributions to the national economy.

**Entities and Categories:**  
The table’s core entities are defined by the `indicator` and `industry` columns. The `indicator` column includes high-level economic measures such as:
- **Gross Domestic Product (GDP):** Total value of goods and services produced.
- **Gross Value Added (GVA):** Value generated by various sectors before taxes and subsidies.
- **GVA Growth Rate:** Percentage change in GVA, both overall and by sector.
- **GDP Growth Rate:** Overall economic growth rate.
- **Net Taxes on Products:** Taxes minus subsidies on products.
- **Export and Import of Goods and Services:** External trade aggregates.
- **Government Final Consumption Expenditure:** Government spending.
- **Valuables:** Investments in precious items.

The `industry` column further disaggregates GVA and its growth rates by specific sectors and industries, including:
- **Agriculture, Livestock, Forestry and Fishing:** Primary sector activities.
- **Mining and Quarrying:** Extraction industries.
- **Manufacturing:** Industrial production.
- **Electricity, Gas, Water Supply & Other Utility Services:** Utilities sector.
- **Construction:** Infrastructure and building activities.
- **Trade, Hotels, Transport, Communication & Services Related to Broadcasting:** Tertiary sector services.
- **Financial, Real Estate & Professional Services:** Financial and business services.
- **Public Administration, Defence & Other Services:** Government and public services.

Some indicators, such as GDP, net taxes, exports, and imports, are reported at the aggregate national level (industry is null), while others provide sectoral breakdowns.

**Time and Geographical Granularity:**  
- **Time granularity:** Quarterly (Q1, Q2, Q3, Q4), allowing for seasonal and intra-annual analysis.
- **Geographical granularity:** National level (India as a whole), with no subnational breakdown.

**Sample Queries:**
1. *What was the quarterly growth rate of the manufacturing sector in India from 2015-16 to 2024-25?*  
   (Filter by `indicator = 'GVA Growth Rate'` and `industry = 'Manufacturing'` across years and quarters.)
2. *How did the value of exports of goods and services change each quarter during 2021-22?*  
   (Filter by `indicator = 'Export of Goods and Services'` and `year = '2021-22'` across quarters.)

This table is a vital resource for understanding India’s economic structure, sectoral dynamics, and macroeconomic trends at a quarterly, national scale.",448
key_aggregates_of_national_accounts,1189,10,"The `key_aggregates_of_national_accounts` table provides a comprehensive annual summary of India’s core macroeconomic indicators, as compiled by the National Accounts Division of the Ministry of Statistics and Programme Implementation (MoSPI). Its primary purpose is to present key aggregates and ratios that are fundamental to understanding the structure, performance, and trends of the national economy at the country level. The data is organized by financial year (e.g., '2016-17', '2020-21'), with each record representing a specific economic item, its value, the price type (current or constant), the value category, and the unit of measurement.

**Entities and Items Covered:**
The table encompasses a wide array of economic aggregates and components, including but not limited to:

- **Gross Domestic Product (GDP):** Both at current and constant prices, as well as percentage change over previous years.
- **Gross National Income (GNI) and Net National Income (NNI):** Key measures of national income, available at different price bases.
- **Gross National Disposable Income (GNDI) and Net National Disposable Income (NNDI):** Indicators of the nation’s total resources available for consumption and saving.
- **Final Expenditure Components:** Such as Private Final Consumption Expenditure (PFCE), Government Final Consumption Expenditure (GFCE), and Gross Fixed Capital Formation (GFCF).
- **Gross Saving and Valuables:** Including gross saving figures and the value of valuables as part of the national accounts.
- **External Sector Items:** Import and export of goods and services, both in value terms and as ratios to GDP, as well as primary income receivable from the rest of the world (ROW) and other current transfers.
- **Capital Formation and Consumption of Fixed Capital (CFC):** Including Gross Capital Formation (GCF) and its subcomponents.
- **Discrepancies and Taxes:** Discrepancies in accounts and taxes on products, including import duties.
- **Ratios and Rates:** Such as PFCE to NNI, Gross Saving to GNDI, GCF excluding valuables to GDP, and rates of expenditure components to GDP.

**Categories and Value Types:**
Each item is further classified by:
- **Price Type:** 'Current price' (nominal) and 'constant price' (real, inflation-adjusted).
- **Value Category:** Including 'Final Expenditure', 'Rates', 'Rates of Expenditure Components to GDP', 'Domestic Product', and 'Percentage Change over Previous Year'.
- **Value Unit:** Most values are in 'crore' rupees, with some ratios and rates marked as 'NA'.

**Time and Geographical Granularity:**
- **Time Granularity:** Yearly, with each record corresponding to a specific financial year.
- **Geographical Granularity:** National level, representing aggregate data for the entire country of India.

**Sample Queries:**
1. *What was the annual GDP at constant prices for India from 2011-12 to 2023-24?*
2. *How have the rates of Private Final Consumption Expenditure (PFCE) to GDP changed over the last decade?*

This table is essential for macroeconomic analysis, policy formulation, and economic research at the national level.",449
per_capita_income_product_final_consumption,169,10,"The `per_capita_income_product_final_consumption` table provides a comprehensive annual record of key per capita economic indicators for India at the national level. Its primary purpose is to track and analyze the evolution of major macroeconomic aggregates—such as income, output, and consumption—on a per-person basis, facilitating the assessment of economic growth, living standards, and consumption patterns over time.

**Data Contents and Purpose:**  
Each row in the table represents a specific economic indicator for a given financial year, capturing the value of that indicator per capita, the corresponding population, and the measurement context (e.g., constant or current prices, or percentage change). The table is designed to support economic analysis, policy evaluation, and historical comparison of India’s economic performance.

**Entities and Indicators:**  
The table covers a diverse set of per capita economic measures, including:

- **Per Capita GDP (Gross Domestic Product):** Reflects the average economic output per person, available at both constant prices (adjusted for inflation, e.g., “constant price”, “constant (2011-12) prices”) and current prices (nominal values).
- **Per Capita GNI (Gross National Income):** Measures the average income earned by residents, including net income from abroad, again at both constant and current prices.
- **Per Capita NNI (Net National Income):** Represents GNI minus depreciation, indicating the net income available to residents.
- **Per Capita GNDI (Gross National Disposable Income):** Captures the total income available to the nation for spending or saving, including net transfers.
- **Per Capita PFCE (Private Final Consumption Expenditure):** Indicates the average consumption expenditure by individuals and households.

For each indicator, the table provides values in rupees, and, where relevant, the annual percentage change over the previous year at constant (2011-12) prices. This allows for both absolute and growth-based analysis. The population column contextualizes per capita calculations, reflecting annual demographic changes.

**Time and Geographical Granularity:**  
- **Time granularity:** Yearly, with data spanning multiple financial years (e.g., 2011-12 through 2023-24).
- **Geographical granularity:** National level; all data aggregates are for the entire country of India, with no subnational breakdown.

**Sample Queries:**  
1. *What was the per capita GDP at constant prices in India for each year from 2011-12 to 2023-24?*  
   (This query helps track real economic growth per person over time.)

2. *How did the annual percentage change in per capita NNI at constant (2011-12) prices vary over the last decade?*  
   (This query supports analysis of income growth trends and economic resilience.)

In summary, this table is a vital resource for understanding India’s macroeconomic trajectory at the individual level, supporting both historical analysis and policy planning.",413
quaterly_estimates_of_expenditure_components_gdp,1008,10,"The `quaterly_estimates_of_expenditure_components_gdp` table provides a comprehensive record of India’s quarterly and annual estimates for the major expenditure components that constitute the country’s Gross Domestic Product (GDP). Its primary purpose is to facilitate macroeconomic analysis by tracking the evolution of key economic aggregates over time, enabling policymakers, researchers, and analysts to assess trends in national economic activity, consumption, investment, trade, and government spending.

**Data Contents and Purpose:**  
This table captures the monetary values (in crores of rupees) of various GDP expenditure components, disaggregated by financial year and quarter (Q1 to Q4). Each record specifies the year, quarter, expenditure item, value, price type (either “Current Price” or “Constant Price”), and the unit of measurement. The data is structured to support both time-series and cross-sectional analysis of India’s national accounts.

**Entities and Categories:**  
The table covers a diverse set of expenditure items, each representing a distinct component of GDP by expenditure approach. Key entities include:

- **Private Final Consumption Expenditure (PFCE):** Reflects household and non-profit consumption, a major driver of domestic demand.
- **Government Final Consumption Expenditure (GFCE):** Captures government spending on goods and services, indicating public sector demand.
- **Gross Fixed Capital Formation (GFCF):** Represents investment in fixed assets such as infrastructure, machinery, and buildings, a critical indicator of capital accumulation and economic growth.
- **Change in Stock:** Measures changes in inventories held by businesses, reflecting production not immediately sold.
- **Valuables:** Includes expenditures on precious items like gold, jewelry, and art, which are considered stores of value.
- **Exports of Goods and Services:** Tracks the value of goods and services sold abroad, highlighting the external sector’s contribution to GDP.
- **Less: Imports of Goods and Services:** Represents the value of goods and services purchased from abroad, subtracted to avoid double-counting foreign production.
- **Gross Domestic Product (GDP):** The aggregate value, both at current and constant prices, summarizing the total output of the economy.
- **Discrepancies:** Balancing item to account for statistical differences in the national accounts.

These categories are reported at both “Current Price” (nominal values) and “Constant Price” (real, inflation-adjusted values), allowing for analysis of both nominal growth and real economic expansion.

**Time and Geographical Granularity:**  
- **Time granularity:** Yearly, with further breakdown by quarter (Q1–Q4) for each financial year (e.g., 2011-12, 2023-24).
- **Geographical granularity:** National level, representing the entire Indian economy.

**Sample Queries:**
1. *What was the quarterly trend in Private Final Consumption Expenditure at constant prices for the last five years?*
2. *How did Gross Fixed Capital Formation at current prices change from Q1 to Q4 in 2022-23?*

This table is essential for understanding the structure and dynamics of India’s GDP from the expenditure perspective, supporting economic planning and policy evaluation.",444
consumer_price_index_cpi_for_agricultural_and_rural_labourers,252,11,"The `consumer_price_index_cpi_for_agricultural_and_rural_labourers` table provides detailed, state-level monthly data on the Consumer Price Index (CPI) specifically tailored for two key segments of India’s workforce: agricultural labourers and rural labourers. The primary purpose of this table is to track and analyze the cost of living and inflation trends as experienced by these labour groups across different Indian states, supporting policy formulation, wage adjustments, and socio-economic research.

**Data Contents and Purpose:**  
Each record in the table represents the CPI index value for a specific state, month, year, and labour type (either ‘agricultural’ or ‘rural’). The CPI is a critical economic indicator reflecting the average change over time in the prices paid by these workers for a basket of goods and services. The table enables users to monitor inflationary pressures and cost-of-living changes at a granular level, supporting targeted interventions and comparative analysis across regions and time periods.

**Entities and Categories:**  
The table captures data for a wide range of Indian states, including but not limited to Kerala, Odisha, Rajasthan, Tamil Nadu, West Bengal, Himachal Pradesh, Jammu & Kashmir, Gujarat, Bihar, Uttar Pradesh, Manipur, Madhya Pradesh, Haryana, Punjab, Assam, Karnataka, Andhra Pradesh, Meghalaya, and Maharashtra. There is also an ‘allindia’ entry, providing a national aggregate for broader analysis.

The `category` column distinguishes between two main expenditure groups:  
- **General:** Represents the overall CPI, encompassing all goods and services relevant to the consumption patterns of agricultural and rural labourers.  
- **Food:** Focuses specifically on the food component of the CPI, reflecting price changes in essential food items consumed by these groups.

The `labour_type` column differentiates between ‘agricultural’ labourers (those primarily engaged in farm work) and ‘rural’ labourers (which may include non-agricultural rural workers). This distinction allows for nuanced analysis of inflation impacts on different rural workforce segments.

**Time and Geographical Granularity:**  
- **Time granularity:** Data is reported monthly, enabling detailed temporal analysis of price trends and seasonal effects.
- **Geographical granularity:** Data is available at the state level, supporting regional comparisons and state-specific policy assessments.

**Sample Queries:**  
1. *How did the food CPI for agricultural labourers in Maharashtra change from June 2024 to July 2024?*  
   (This query helps track month-on-month inflation in food prices for a specific labour group and state.)

2. *Which state had the highest general CPI for rural labourers in July 2024?*  
   (This query identifies regional disparities in the cost of living for rural workers at a specific point in time.)

Overall, this table is a vital resource for understanding inflation dynamics and living cost variations among India’s rural and agricultural workforce, with rich detail across states, time, and expenditure categories.",429
city_wise_housing_price_indices,2400,8,"The `city_wise_housing_price_indices` table provides a comprehensive record of residential property price trends across major Indian cities, serving as a vital resource for real estate market analysis, policy formulation, investment decision-making, and urban economic research. The table captures the Housing Price Index (HPI) — a numeric indicator reflecting the relative movement of residential property prices — for each city, measured on a quarterly basis. This index enables users to track and compare the evolution of housing prices over time and across different urban centers.

**Entities and Coverage:**  
The primary entities in this dataset are Indian cities, each representing a distinct urban housing market. The table includes a diverse array of cities, ranging from large metropolitan hubs to emerging urban centers. Notable examples include major metros such as **Delhi**, **Mumbai** (represented by Navi Mumbai and Thane), **Bengaluru**, **Chennai**, **Hyderabad**, and **Kolkata**. It also covers rapidly growing cities like **Pune** (via Pimpri Chinchwad and Chakan), **Ahmedabad**, **Surat**, **Indore**, **Lucknow**, **Jaipur**, **Patna**, **Bhubaneswar**, **Coimbatore**, **Kochi**, **Thiruvananthapuram**, and **Guwahati**. Additionally, the table features satellite cities and urban agglomerations such as **Noida**, **Greater Noida**, **Ghaziabad**, **Gurugram**, **Meerut**, **Kalyan Dombivali**, **Vasai Virar**, **Mira Bhayander**, **Dehradun**, **Bhiwadi**, **Howrah**, **Chandigarh (Tricity)**, **Vadodara**, **Vizag** (Visakhapatnam), and **Vijayawada**. This broad coverage allows for granular analysis of housing price dynamics across a spectrum of city sizes and regions.

**Time and Geographical Granularity:**  
The time granularity is **quarterly**, with each record specifying the year and quarter (e.g., Q1, Q2, Q3, Q4), enabling users to observe seasonal and annual trends in housing prices. The geographical granularity is at the **city level**, making it possible to conduct localized market assessments and inter-city comparisons.

**Data Utility and Example Queries:**  
The table is ideal for answering questions such as:
1. **How have housing prices in Bengaluru changed over the past five years on a quarterly basis?**  
   _Sample Query:_  
   `SELECT year, quarter, index_value FROM city_wise_housing_price_indices WHERE city = 'Bengaluru' ORDER BY year, quarter;`
2. **Which city had the highest housing price index in Q2 of 2024?**  
   _Sample Query:_  
   `SELECT city, index_value FROM city_wise_housing_price_indices WHERE year = 2024 AND quarter = 'Q2' ORDER BY index_value DESC LIMIT 1;`

In summary, this table is a robust dataset for tracking, comparing, and analyzing residential property price trends across Indian cities at a quarterly frequency, supporting a wide range of real estate and economic research applications.",384
cpi_worker_data,156,10,"The `cpi_worker_data` table provides comprehensive annual data on various Consumer Price Indices (CPI) relevant to different worker groups across Indian states. Its primary purpose is to track and analyze inflation trends as experienced by specific segments of the workforce, supporting economic research, policy formulation, and wage indexation. The table captures the evolution of cost-of-living indices for workers, enabling detailed comparisons across time, worker categories, and regional groupings.

**Entities and Categories:**

The table covers four major CPI series, each tailored to a distinct worker segment:
- **CPI-IW (Consumer Price Index for Industrial Workers):** Reflects inflation for industrial workers, commonly used for wage adjustments in the organized sector.
- **CPI-AL (Consumer Price Index for Agricultural Labourers):** Measures price changes affecting agricultural laborers, crucial for rural wage policy.
- **CPI-RL (Consumer Price Index for Rural Labourers):** Similar to CPI-AL but includes a broader set of rural workers.
- **CPI-NS (Consumer Price Index - New Series):** A more recent, comprehensive index, with subcategories for rural, urban, and combined populations.

Each record specifies the **worker_type** (e.g., 'CPI-IW', 'CPI-AL', 'CPI-RL', 'CPI-NS'), the **base_year** for the index (such as 1986, 2001, 2012, or 2016), and the **worker_region**. The **worker_region** field distinguishes between 'General' (all workers), 'Rural', 'Urban', and 'Combined' (aggregate of rural and urban), allowing for nuanced analysis of inflation across different population segments.

**Time and Geographical Granularity:**

- **Time Granularity:** The data is aggregated at the **yearly** level, with each row representing either the average index value across all months of a year or the value for the last month of the year (as indicated by the **time_period** field, e.g., 'Average of Months', 'Last Month of').
- **Geographical Granularity:** The data is reported at the **state** level, enabling state-wise comparisons of inflation trends for different worker groups and index types.

**Sample Queries:**

1. *How has the Consumer Price Index for Industrial Workers (CPI-IW) changed in Maharashtra from 2010 to 2023?*
   - This query would filter by `worker_type = 'CPI-IW'` and the relevant state in `worker_region`, returning annual index values for the specified period.

2. *What was the average annual CPI-NS (New Series) for rural regions in Uttar Pradesh over the last decade?*
   - This would filter by `worker_type = 'CPI-NS'`, `worker_region = 'Rural'`, and the state, aggregating index values for the years 2013–2023.

**Summary:**

The `cpi_worker_data` table is a vital resource for understanding inflation as it affects different worker populations at the state level in India, with detailed breakdowns by index type, region, and year. It supports a wide range of analyses, from wage policy to cost-of-living studies, and enables granular, comparative insights into economic conditions across the country.",433
cpi_food_worker_data,40,10,"The `cpi_food_worker_data` table provides annual index values for the Consumer Price Index for Industrial Workers (CPI-IW), specifically focusing on the cost of living for workers in relation to food and non-food consumption categories. The primary purpose of this table is to track and analyze inflation trends and cost-of-living changes for industrial workers across different states in India, using the CPI-IW as a benchmark. This data is crucial for policymakers, researchers, and economists to assess wage adjustments, social security benefits, and economic planning for the working population.

**Entities and Categories:**
The table captures two main consumption categories under the `worker_region` column: **Food** and **Non Food**. The ""Food"" category encompasses all food-related expenditures, which may include staples, vegetables, fruits, dairy, meat, and other consumables typically purchased by industrial workers. The ""Non Food"" category covers all other essential and discretionary expenditures outside of food, such as housing, clothing, fuel, transportation, healthcare, education, and miscellaneous goods and services.

The `worker_type` column, with values such as ""CPI-IW"" (Consumer Price Index for Industrial Workers), indicates the specific worker segment for which the index is calculated. This index is widely used as a synonym for cost-of-living index or inflation index for industrial workers.

The `base_year` column (e.g., 2001) specifies the reference year for the index calculation, allowing for comparison of price changes over time relative to a fixed base.

**Time and Geographical Granularity:**
- **Time Granularity:** The data is aggregated at the **yearly** level, as indicated by the `year` column and the presence of time period descriptors such as ""Average of Months"" and ""Last Month of"" within each year. This allows for annual trend analysis and year-over-year comparisons.
- **Geographical Granularity:** The data is available at the **state** level, enabling regional analysis of inflation and cost-of-living changes for industrial workers across different states in India.

**Sample Queries:**
1. *How did the annual average food price index for industrial workers change in Maharashtra between 2011 and 2020?*
   ```sql
   SELECT year, index_value
   FROM cpi_food_worker_data
   WHERE worker_region = 'Food' AND worker_type = 'CPI-IW' AND state = 'Maharashtra'
   ORDER BY year;
   ```

2. *What was the difference between the food and non-food CPI-IW index values for Tamil Nadu in 2018?*
   ```sql
   SELECT worker_region, index_value
   FROM cpi_food_worker_data
   WHERE year = 2018 AND worker_type = 'CPI-IW' AND state = 'Tamil Nadu';
   ```

In summary, this table is a comprehensive resource for analyzing annual inflation and cost-of-living trends for industrial workers, with detailed breakdowns by consumption category and state, supporting a wide range of economic and policy analyses.",414
nifty_sme_index_daily_values,2077,9,"The `nifty_sme_index_daily_values` table provides a comprehensive record of the daily closing values for the NIFTY SME EMERGE index, a specialized stock market index maintained by NSE Indices that tracks the performance of small and medium enterprises (SMEs) listed on the NSE EMERGE platform in India. The primary purpose of this table is to enable analysts, investors, and researchers to monitor, analyze, and compare the historical performance of the SME sector within the Indian equity market at a national level.

**Data Contents and Purpose:**  
Each row in the table represents the value of the NIFTY SME EMERGE index on a specific date. The table includes the following key fields:  
- `index_name`: The name of the tracked index, which in this dataset is consistently ""NIFTY SME EMERGE"". This index is also referred to as the ""NSE SME Index"" or ""NSE EMERGE SME Index"".
- `date`: The calendar date for which the index value is recorded.
- `open`, `high`, `low`: Intended to capture the opening, highest, and lowest values of the index for the day, though these fields are not populated in the sample data.
- `close`: The closing value of the index for the given date, which is the primary metric available in this dataset.

**Entities and Sectoral Coverage:**  
The NIFTY SME EMERGE index aggregates the market performance of a diverse set of small and medium-sized enterprises across multiple industries and sectors in India. While the table itself does not list individual companies or sectors, the index it tracks is composed of SMEs from a wide array of industries, such as:
- Manufacturing (e.g., engineering goods, textiles, chemicals, auto components)
- Information Technology (IT services, software development)
- Pharmaceuticals and Healthcare
- Consumer Goods (FMCG, packaged foods, personal care)
- Infrastructure and Construction
- Financial Services (NBFCs, microfinance)
- Renewable Energy and Environmental Services
- Retail and E-commerce
- Logistics and Transportation

These entities represent the backbone of India’s entrepreneurial and industrial landscape, and the index serves as a barometer for the health and growth of the SME segment nationwide.

**Time and Geographical Granularity:**  
- **Time Granularity:** The data is recorded at a daily frequency, with each entry corresponding to a specific trading day. However, only the closing value is consistently available.
- **Geographical Granularity:** The index and thus the data are national in scope, reflecting the performance of SMEs listed across India, without regional or state-level breakdowns.

**Sample Queries:**  
1. *What was the closing value of the NIFTY SME EMERGE index on 31-Aug-2023?*  
   This query helps track the index’s performance on a specific date.

2. *How has the NIFTY SME EMERGE index trended over the past five years?*  
   This query enables analysis of long-term growth, volatility, or sectoral resilience within the Indian SME segment.

This table is essential for anyone seeking to understand trends, volatility, and growth patterns in India’s SME equity market at a national level.",476
msme_definitions_by_sector,177,10,"The `msme_definitions_by_sector` table provides a comprehensive cross-country reference of how Micro, Small, and Medium Enterprises (MSMEs) are defined across various economic sectors and industries. Its primary purpose is to document and compare the official thresholds and criteria used by different countries to classify businesses as micro, small, or medium-sized, supporting policy analysis, international benchmarking, and research on MSME development.

**Data Content and Purpose:**  
Each record in the table represents a unique combination of sector, classification criterion, and country, along with the specific thresholds that delineate micro, small, and medium enterprises. The table enables users to understand and compare the diversity of MSME definitions, which can vary significantly by sector (e.g., manufacturing, services, agriculture) and by the measurement criteria used (e.g., number of employees, revenue, assets).

**Entities and Examples:**  
- **Sectors/Industries:** The table covers a wide range of sectors, including but not limited to:
  - **Manufacturing** (e.g., “Manufacturing”, “Manufacturing*”)
  - **Services** (e.g., “Service”, “Services and Other Sectors”, “Services and Trading”)
  - **Commerce and Services** (sometimes listed as “Commerce and services”)
  - **Trading** (with subcategories such as “Trading: Retail”, “Trading: Wholesale”)
  - **Agriculture, Forestry and Fishery** (sometimes “Agriculture, foresty, fisheries”)
  - **Industry and Construction**
  - **Specialized activities** such as “Repair of motor vehicles and motorcycles”, “Transportation and storage”, “Financial and insurance activities”, and “Wholesale and retail trade”
- **Criteria:** MSME classification is based on various criteria, including:
  - **Number of employees** (e.g., “Employees”, “Number of employees (with insurance)”, “Number of full-time employees”, “Average number of employees”)
  - **Financial metrics** such as “Total revenue”, “Annual turnover”, “Annual sales turnover”, “Total capital”, “Net assets (land and building excluded)”, “Fixed assets (excluding land)”, and “Investment in plant and machinery”
- **Thresholds:** The table specifies the cut-off values for micro, small, and medium enterprises, which may be expressed as ranges or maximums (e.g., “Not more than 15 employees”, “Less than Rp50 million”, “From 5 to 29 employees”, “Not more than D10 billion”).
- **Countries:** The data spans multiple Asian countries, including Thailand, Vietnam, Malaysia, Indonesia, India, Uzbekistan, Tajikistan, and the Philippines, allowing for cross-country comparison at the **country level** of geographical granularity.

**Time Granularity:**  
The table does not track data at a regular time interval; instead, it records the date when each definition was published, making the time granularity **unknown** or ad hoc.

**Sample Queries:**  
1. *What are the MSME employee thresholds for the manufacturing sector in Thailand and Malaysia?*  
2. *How does the definition of a small enterprise in the services sector differ between Vietnam and India based on annual turnover?*

This table is a valuable resource for understanding the heterogeneity of MSME definitions across sectors and countries, supporting comparative policy analysis and international research.",440
