data_domain,table_name,columns,comments,source,source_url,released_on,updated_on,rows_count,business_metadata
GDP,quaterly_key_aggregates_of_national_accounts,"year, indicator, industry, quarter, value_at_current_price",,MoSPI - National Accounts Division,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?index=&page=0&product=NAS,2025-05-30 00:00:00,2025-06-12 00:00:00,1568,Quarterly GDP aggregates for short-term macroeconomic forecasting.
GDP,key_aggregates_of_national_accounts,"year, item, value, value_category, value_unit",,MoSPI - National Accounts Division,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?index=&page=0&product=NAS,2025-05-24 00:00:00,2025-03-01 00:00:00,1098,Core national account metrics supporting national budget and policy planning.
GDP,per_capita_income_product_final_consumption,"year, item, population, value, value_unit",,MoSPI - National Accounts Division,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?index=&page=0&product=NAS,2024-05-01 00:00:00,2025-03-01 00:00:00,156,Key indicators of living standards and consumption behavior at the national level.
GDP,quaterly_estimates_of_expenditure_components_gdp,"year, item, quarter, price_type, value",,MoSPI - National Accounts Division,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?index=&page=0&product=NAS,2024-05-01 00:00:00,2025-03-01 00:00:00,936,Expenditure-side GDP estimates by quarter for demand-side economic insights.
CPI,consumer_price_index_cpi_for_agricultural_and_rural_labourers,"state, year, category, index_value, labour_type",,Ministry of Labour & Employment,https://labourbureau.gov.in/uploads/public/notice/MIL-07-2024pdf-bd246163a1b7f2b4515a6eedd5df650d.pdf,2025-08-24 00:00:00,2025-04-01 00:00:00,168,Inflation trends affecting rural/agricultural labor for wage/policy insights.
CPI,city_wise_housing_price_indices,"city, year, quarter, index_value",,National Housing Bank,https://residex.nhbonline.org.in/,2025-03-01 00:00:00,2025-04-01 00:00:00,2350,Housing inflation trends at city level to track real estate affordability.
CPI,cpi_worker_data,"year, time_period, worker_type, region, index_value",,Ministry of Finance,https://www.indiabudget.gov.in/economicsurvey/doc/Statistical-Appendix-in-English.pdf,2022-01-01 00:00:00,2025-04-01 00:00:00,156,CPI data tracking worker income trends across categories and regions.
CPI,cpi_food_worker_data,"year, time_period, worker_type, region, index_value",,Ministry of Finance,https://www.indiabudget.gov.in/budget2022-23/economicsurvey/doc/stat/tab43.pdf,2022-01-01 00:00:00,2025-04-01 00:00:00,40,CPI for food-specific inflation experienced by workers.
MSME,nifty_sme_index_daily_values,"index_name, date, open, high, low, close",,NSE Indices,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-sme-emerge,2025-02-01 00:00:00,2025-04-19 00:00:00,2077,Daily stock index data representing SME equity market movements.
MSME,msme_definitions_by_sector,"sector, criteria, micro_threshold, small_threshold, medium_threshold",,Asian Development Bank,https://data.adb.org/dataset/2023-asia-small-and-medium-sized-enterprise-monitor,2023-10-24 00:00:00,2025-04-17 00:00:00,177,Threshold benchmarks to classify MSMEs across sectors and geographies.
MSME,msme_global_data,"source, region, country, year, value",,Asian Development Bank / ERDI,https://data.adb.org/media/10421/download,2023-10-24 00:00:00,2025-04-17 00:00:00,6556,Comparative international MSME data for regional economic analysis.
enterprise_establishment_surveys,asuse_est_num_workers_by_employment_gender,"year, stateut, sector, indicator, activity_category, establishment_type, gender, nature_of_employment, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,468,"Presents worker distribution by gender and nature of employment (e.g., full-time/part-time), across sectors and activity categories."
CPI,whole_sale_price_index_fy,"year, commodity_name, index_value",,Ministry of Commerce & Industry,https://eaindustry.nic.in/download_data_1112.asp,2024-05-01 00:00:00,2025-04-01 00:00:00,10308,Wholesale inflation by commodity used for supply chain and price tracking.
MSME,msme_priority_sector_view,"month_numeric,year,effective_date,gbc_in_cr,id,subgroup,data_source,date_stamp,released_on,updated_on,month,sector,group_name",,Reserve Bank of India,https://www.rbi.org.in/scripts/Data_Sectoral_Deployment.aspx,2025-05-30 00:00:00,2025-07-02 00:00:00,2485,Monthly Gross Bank Credit (GBC) outstanding in crores for the top ten most critical priority sectors within the Non-Food credit category
MSME,msme_gdp_by_region_view,"data_upload_date,year,value,subregion,source,heading,region,country",,Asian Development Bank / ERDI,https://data.adb.org/dataset/2023-asia-small-and-medium-sized-enterprise-monitor,2023-10-24 00:00:00,2025-07-02 00:00:00,50,GDP contribution of MSMEs by region/subregion and country within Asia
MSME,msme_gdp_by_sector_view,"data_upload_date,year,value,sector,source,heading,region,country",,Asian Development Bank / ERDI,https://data.adb.org/dataset/2023-asia-small-and-medium-sized-enterprise-monitor,2023-10-24 00:00:00,2025-07-02 00:00:00,175,GDP contribution of MSMEs by sector across Asian countries and regions
MSME,msme_share_by_region_view,"data_upload_date,year,value,subregion,source,heading,region,country",,Asian Development Bank / ERDI,https://data.adb.org/dataset/2023-asia-small-and-medium-sized-enterprise-monitor,2023-10-24 00:00:00,2025-07-02 00:00:00,46,"MSME share (%) in the economy, by region/subregion/country"
MSME,msme_share_by_sector_view,"data_upload_date,year,value,sector,source,heading,region,country",,Asian Development Bank / ERDI,https://data.adb.org/dataset/2023-asia-small-and-medium-sized-enterprise-monitor,2023-10-24 00:00:00,2025-07-02 00:00:00,175,"MSME share (%) by sector (e.g., services, manufacturing) across Asia"
GDP,india_fy_gdp_view,"year,value_in_cr_const,growth_rate_const,value_in_cr_current,growth_rate_current",,MoSPI - National Accounts Division,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?index=&page=0&product=NAS,2025-03-17 00:00:00,2025-06-20 00:00:00,14,"Aggregated national-level GDP metrics by financial year. Captures GDP and GVA growth at constant and current prices. Any India level summarization needs for GDP across years, trending and growth rate can be done from this table"
GDP,india_fy_national_income_view,"year,item,value_in_cr_const,growth_rate_const,value_in_cr_current,growth_rate_current",,MoSPI - National Accounts Division,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?index=&page=0&product=NAS,2025-03-17 00:00:00,2025-06-20 00:00:00,28,"National income accounting components both for Gross and Net Income levels with growth rates at both constant and current prices, financial year-wise."
enterprise_establishment_surveys,asuse_est_annual_emoluments_per_hired_worker,"year, stateut, sector, indicator, sub_indicator, activity_category, establishment_type, hired_worker, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,63,"Shows average annual emoluments (wages/salaries) paid per hired worker, broken down by state, sector, activity type, and establishment characteristics."
enterprise_establishment_surveys,asuse_est_annual_gva_per_establishment,"year, stateut, sector, indicator, activity_category, establishment_type, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,112,"Captures Gross Value Added (GVA) per establishment annually, segmented by state, sector, activity category, and establishment type."
enterprise_establishment_surveys,asuse_est_num_establishments_pursuing_mixed_activity,"year, stateut, sector, indicator, establishment_type, activity_category, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,216,"Represents the number of establishments engaged in more than one activity (mixed), categorized by sector, establishment type, and activity."
MSME,msme_employees_share_by_region_view,"heading, region, country, subregion, year, value, source, data_upload_date", ,Asian Development Bank / ERDI,https://data.adb.org/dataset/2023-asia-small-and-medium-sized-enterprise-monitor,2023-10-24 00:00:00,2025-07-02 00:00:00,50,GDP contribution of MSMEs by region/subregion and country within Asia
MSME,msme_global_sector,"heading, region, country, subregion, year, value, source, data_upload_date","",Asian Development Bank / ERDI,https://data.adb.org/dataset/2023-asia-small-and-medium-sized-enterprise-monitor,2023-10-24 00:00:00,2025-07-02 00:00:00,525,GDP contribution of MSMEs by region/subregion and country within Asia
enterprise_establishment_surveys,asuse_est_value_key_characteristics_by_workers,"year, stateut, sector, indicator, broad_activity_category, worker_characteristics, worker_number, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,1350,"Contains values of key establishment characteristics classified by different worker traits (e.g., skill level, role), across various activity categories."
enterprise_establishment_surveys,asuse_estimated_annual_gva_per_worker_rupees,"year, stateut, sector, indicator, activity_category, establishment_type, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,1350,"Provides estimated annual GVA per worker (in rupees), by state, sector, establishment, and activity category."
enterprise_establishment_surveys,asuse_estimated_number_of_workers_by_type_of_workers,"year, stateut, sector, indicator, activity_category, establishment_type, gender, type_of_worker, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,1350,"Estimates the number of workers by type (e.g., hired, self-employed) and gender, segmented by establishment and activity characteristics."
enterprise_establishment_surveys,asuse_per1000_estb_by_hours_worked_per_day,"year, stateut, sector, indicator, activity_category, establishment_type, no_of_working_hours, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,4032,"Shows the distribution (per 1000 establishments) by number of working hours per day, by sector and establishment category."
enterprise_establishment_surveys,asuse_per1000_estb_by_months_operated_last_365days,"year, stateut, sector, indicator, activity_category, establishment_type, no_of_months_operated, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,4032,"Indicates how many months establishments operated in the past year (per 1000 estb), across different sectors and activities."
enterprise_establishment_surveys,asuse_per1000_estb_registered_under_acts_authorities,"year, stateut, sector, indicator, sub_indicator, actsagency_of_registration, activity_category, establishment_type, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,4032,"Shows registration status of establishments (per 1000), detailing which acts/agencies they’re registered under."
enterprise_establishment_surveys,asuse_per1000_estb_using_computer_internet_last365_days,"year, stateut, sector, indicator, sub_indicator, broad_activity_category, establishment_type, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,5400,Reflects digital adoption: proportion of establishments using computers or the internet in the last 365 days (per 1000).
enterprise_establishment_surveys,asuse_per1000_of_estb_using_internet_by_type_of_its_use,"year, stateut, sector, indicator, broad_activity_category, usage_of_internet, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,6048,"Details how establishments use the internet (e.g., communication, sales, training), with usage type breakdown per 1000 establishments."
enterprise_establishment_surveys,asuse_per1000_proppartn_estb_by_edu_owner_mjr_partner,"year, stateut, sector, indicator, general_education_level, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,6300,"Shows educational profile of owners/major partners of proprietary/partnership establishments, per 1000 establishments."
